Author,Comment,sentiment_label
Edward Spence,justin trudeau is really desperate pierre polieve for prime,negative
Edward Spence,just trudeau will loose the next election pierre polieve for prime minister,negative
Cedric Farrell,thanks you for your service mister trudeau god blesses you and the country,positive
Wapn Perfo,every person here should be ashamed of themselves you have let this happen after shaming  conspiracy theorists  step the f aside and watch what a real man would do face to face with a clown losers,negative
Marcel Dagenais,so why did justin not complete his tenure as a teacher casting couch issues i heard from a lot of people something happened needs to be investigated,negative
Marcel Dagenais,o boy more free trips to europe for justin he needs to go to jail he s a criminal just like wynne obstruction of justice is still a crime in canada last time i checked the justice is corrupt and favours the rich,negative
Bon-Agan,why are you making canda weak for what purpose,negative
Irene,ras radio absorbing structures,neutral
Irene,ram radio absorbing material,neutral
Irene,ld50 lethal dose to eradicate 50,negative
Irene,sorry for the little snippets have to test the waters which word or group of words youtube is censoring because they are censoring some of my writings,negative
Zach,weakest applause i ever heard in my life,negative
Zach,anyone who vote trudeau is a bad canadian,negative
Sheldon Briggs,less than an hour but over 10000 to master it,positive
UltamiteSlacKer,how do you have a 36 approval rating during the 2021 election and still win,negative
Walter Paliga,the scumbag justin though dope the disgrace to canada send this criminal to jail,negative
no friends zone,what has this world come to Frustrated dumbfounded malesign,negative
E.C.,justin trudeau absolutely did nt win anything this was a waste of time basically the same results as last time even the cbc host said this was a waste of time not much changed,negative
Radix Reuel,we know that no one ever seizes power with the intention of relinquishing it power is not a means it is an end one does not establish a dictatorship in order to safeguard a revolution one makes the revolution in order to establish the dictatorshipgeorge orwell,neutral
m daudi,what a communist speech as bad as it is here in the usa canada is far worse,negative
Angela Baiers,cheater canadians can not stand him,negative
MrSixstringthing Romero,elon musk for prime minister save canada from tyranny elon,neutral
Ethan Bailey,man turned into a shitshow,negative
Darren and Samantha Pittman,how in gods earth is this a leader,negative
Charles Darwin,now here we are 5 months later how many of his supporters still support him,negative
Bobby,he did another rally in his usual black face right after this one,neutral
Geo,prime minister blackface is an absolute coward,negative
SUPERULTRAMAGNUM,it s looking more and more like justin actually has no support and is a complete fraud just like joe brandon let s go brandonlet s go brandeau,negative
Yan Pelletier,false election troudeau is prime minester of noting Annoyed angryAnnoyed angryAnnoyed angrySwearing contempt disrespect darkskintone Swearing contempt disrespect darkskintone Swearing contempt disrespect darkskintone,negative
Break Free Transformations,in the comment huge dislikes and i guess at one time there was a number shame on you youtube for not allowing true voices to have an opinion,negative
Lester Green,he represents everything that is wrong and evil about governments and politicians,negative
Guadalupe Barnett,corrupted communist son of the gun ,negative
John Brittingham,how did this ignorant elitist man child ever convince anyone to vote for him,negative
Joe Wright,trudeau is a pantywaist a real empty suit,negative
Rock,liberals dont care about basic dictatorship and blackface,negative
54321Judith,barack obama showed up just in time,positive
Nick Fortier,just wanted to say from canadians we are not on your side trudeau trudeau will ti us forever be a name marked in shame deceipt and corruption for a blatant disregard for the livelihood and happiness and freedoms of a home he shares with us i feel sorry for his wife and especially his kids if i ever have the misfortune of stepping upon your grave you will be sure to spit on it,negative
Truth Said,you people voted for this guy then yall deserve everything that you get enjoy,negative
Terry Fairservice,it s not something you won it s something that you stole,negative
Angela Michelle Ross,the comments on this speak volumes removing a dislike button won  t work,negative
Friedrich Wulfgang,this was the day democracy died and turned into a passive aggressive totalitarianism  s wet dream,negative
Shanej Dwyer,what a disgrace sad day for canada,negative
Darth Logicus, win  yeah that s what it was laughing out loud,positive
Absolute Fool,so this is it huh there really is no hope,negative
